burst_start	burst_end	invocations	agent
2026-04-15T10:31:13.769Z	2026-04-15T10:32:05.078Z	5	code-agent
2026-04-15T10:41:11.661Z	2026-04-15T10:42:04.670Z	5	code-agent
2026-04-15T10:44:21.100Z	2026-04-15T10:45:11.495Z	6	code-agent
2026-04-15T12:17:40.685Z	2026-04-15T12:18:07.930Z	4	code-agent
2026-04-15T12:26:31.078Z	2026-04-15T12:26:53.066Z	3	code-agent
2026-04-15T13:06:57.941Z	2026-04-15T13:07:24.021Z	3	code-agent
2026-04-15T13:09:05.427Z	2026-04-15T13:10:04.932Z	4	code-agent
2026-04-15T13:16:32.637Z	2026-04-15T13:16:57.201Z	3	code-agent
2026-04-15T14:25:44.022Z	2026-04-15T14:26:07.822Z	3	code-agent
2026-04-15T15:19:06.852Z	2026-04-15T15:19:29.407Z	3	code-agent
2026-04-15T16:25:34.319Z	2026-04-15T16:25:58.681Z	3	code-agent
2026-04-15T16:42:42.726Z	2026-04-15T16:44:01.481Z	4	code-agent
2026-04-15T18:14:02.765Z	2026-04-15T18:14:26.915Z	3	code-agent
2026-04-15T18:16:50.254Z	2026-04-15T18:18:54.556Z	5	code-agent
2026-04-15T18:20:02.601Z	2026-04-15T18:20:40.278Z	4	code-agent
2026-04-15T19:16:54.450Z	2026-04-15T19:17:26.486Z	4	code-agent
2026-04-15T19:34:12.586Z	2026-04-15T19:34:26.931Z	5	code-agent
2026-04-15T19:43:14.839Z	2026-04-15T19:44:22.081Z	6	code-agent
2026-04-15T19:47:13.428Z	2026-04-15T19:48:05.647Z	3	code-agent
2026-04-15T19:56:56.174Z	2026-04-15T19:57:49.334Z	5	code-agent
2026-04-15T23:26:01.321Z	2026-04-15T23:28:55.161Z	14	code-agent
2026-04-15T23:36:35.862Z	2026-04-15T23:40:06.892Z	12	code-agent
2026-04-15T23:47:21.592Z	2026-04-15T23:48:10.628Z	3	code-agent
