burst_start	burst_end	invocations	agent
2026-04-15T12:56:17.555Z	2026-04-15T12:57:35.186Z	3	science-agent
2026-04-15T13:08:04.270Z	2026-04-15T13:09:02.530Z	3	science-agent
2026-04-15T15:05:21.578Z	2026-04-15T15:06:14.614Z	4	science-agent
2026-04-15T16:46:22.108Z	2026-04-15T16:46:59.446Z	3	science-agent
2026-04-15T17:48:15.055Z	2026-04-15T17:48:33.091Z	3	science-agent
2026-04-15T18:08:08.308Z	2026-04-15T18:09:15.776Z	3	science-agent
2026-04-15T18:15:24.210Z	2026-04-15T18:18:22.787Z	8	science-agent
2026-04-15T18:34:02.365Z	2026-04-15T18:35:11.647Z	3	science-agent
2026-04-15T18:39:41.151Z	2026-04-15T18:40:30.067Z	3	science-agent
2026-04-15T18:55:54.403Z	2026-04-15T18:56:17.302Z	3	science-agent
2026-04-15T19:15:19.703Z	2026-04-15T19:15:53.789Z	3	science-agent
2026-04-15T19:41:27.660Z	2026-04-15T19:42:30.369Z	3	science-agent
2026-04-15T19:45:36.818Z	2026-04-15T19:46:24.829Z	3	science-agent
2026-04-15T19:54:46.609Z	2026-04-15T19:56:10.722Z	4	science-agent
2026-04-15T20:38:39.462Z	2026-04-15T20:41:04.893Z	5	science-agent
