rule_file	first_commit	first_date	pr
check-before-propose.md	6469fe0	2026-04-24	#231
codify-at-correction-time.md	b550fc3	2026-04-26	#249
coordination.md	c8bb545	2026-04-22	#206
delegation-template.md	b36c6fe	2026-04-22	#225
execute-on-directive.md	7554185	2026-04-26	#250
gh-token-attribution-traps.md	033479e	2026-04-26	#251
mention-routing-hygiene.md	f09a883	2026-04-24	#233
model-era-compatibility.md	83347b0	2026-04-26	#252
observability-wiring.md	4459af9	2026-04-25	#246
peer-dynamic.md	b36c6fe	2026-04-22	#225
pr-discipline.md	b36c6fe	2026-04-22	#225
silent-fallback-hazards.md	f7a8403	2026-04-30	#9
verify-before-claim.md	6469fe0	2026-04-24	#231
