trial_n	outcome	duration_ms	session_name	pre	post	details
1	PASS	3044	injection-c-1765507-1-1778342046679199318	1778342046	1778342046	heartbeat detected stuck pane (POST<=PRE)
2	PASS	3039	injection-c-1765507-2-1778342050068577975	1778342050	1778342050	heartbeat detected stuck pane (POST<=PRE)
3	PASS	3009	injection-c-1765507-3-1778342053418747639	1778342053	1778342053	heartbeat detected stuck pane (POST<=PRE)
4	PASS	3006	injection-c-1765507-4-1778342056728146735	1778342056	1778342056	heartbeat detected stuck pane (POST<=PRE)
5	PASS	3058	injection-c-1765507-5-1778342060057442127	1778342060	1778342060	heartbeat detected stuck pane (POST<=PRE)
6	PASS	3051	injection-c-1765507-6-1778342063420428868	1778342063	1778342063	heartbeat detected stuck pane (POST<=PRE)
7	PASS	3040	injection-c-1765507-7-1778342066787483618	1778342066	1778342066	heartbeat detected stuck pane (POST<=PRE)
8	PASS	2996	injection-c-1765507-8-1778342070129867316	1778342070	1778342070	heartbeat detected stuck pane (POST<=PRE)
9	PASS	3025	injection-c-1765507-9-1778342073441539167	1778342073	1778342073	heartbeat detected stuck pane (POST<=PRE)
10	PASS	2996	injection-c-1765507-10-1778342076783869518	1778342076	1778342076	heartbeat detected stuck pane (POST<=PRE)
11	PASS	3079	injection-c-1765507-11-1778342080127782575	1778342080	1778342080	heartbeat detected stuck pane (POST<=PRE)
12	PASS	3063	injection-c-1765507-12-1778342083514411286	1778342083	1778342083	heartbeat detected stuck pane (POST<=PRE)
13	PASS	3012	injection-c-1765507-13-1778342086924230532	1778342086	1778342086	heartbeat detected stuck pane (POST<=PRE)
14	PASS	3034	injection-c-1765507-14-1778342090241053265	1778342090	1778342090	heartbeat detected stuck pane (POST<=PRE)
15	PASS	3063	injection-c-1765507-15-1778342093621091698	1778342093	1778342093	heartbeat detected stuck pane (POST<=PRE)
16	PASS	3010	injection-c-1765507-16-1778342097043791307	1778342097	1778342097	heartbeat detected stuck pane (POST<=PRE)
17	PASS	3050	injection-c-1765507-17-1778342100370131051	1778342100	1778342100	heartbeat detected stuck pane (POST<=PRE)
18	PASS	3050	injection-c-1765507-18-1778342103733039113	1778342103	1778342103	heartbeat detected stuck pane (POST<=PRE)
19	PASS	2996	injection-c-1765507-19-1778342107093828083	1778342107	1778342107	heartbeat detected stuck pane (POST<=PRE)
20	PASS	3084	injection-c-1765507-20-1778342110407520874	1778342110	1778342110	heartbeat detected stuck pane (POST<=PRE)
